admin1,urban,sector,pred_mean,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Louga,urban,agri_aqua,0.027174378804532356,0.022755462957573372,0.03186923630977639,0.021633012749169917,0.03332573189888915
Louga,urban,livestock,0.07057281277031136,0.061992375702195554,0.07957741484141875,0.060528397003116435,0.0818480355271727
Louga,urban,professional,0.20986349831602796,0.19161081146851916,0.22924935952646455,0.18532509232383088,0.2347440392354551
Louga,urban,services,0.10184810824225797,0.08890198626616864,0.11487981793286801,0.08518966277878816,0.11830856516773018
Louga,urban,small_business,0.5017852121444835,0.4795059172341053,0.5247004913180207,0.4721302714986997,0.5312357582629704
Louga,urban,trades,0.0887559897223869,0.0792014489557967,0.09880694128554779,0.07653048247086673,0.10223440850464714
Matam,rural,agri_aqua,0.11499751976108323,0.09013802511626298,0.13993801419841823,0.08454270241250075,0.1496012296680711
Matam,rural,livestock,0.43032203395628543,0.3934752068034165,0.468422929477758,0.38445898520198324,0.47974374905885725
Matam,rural,professional,0.04993931293966845,0.040098383711148836,0.05938748999058646,0.037862857881932874,0.06234922711083805
Matam,rural,services,0.03321140549537387,0.025973301800286997,0.040894852214624106,0.024098306961955043,0.04370269068282678
Matam,rural,small_business,0.2864158515526847,0.25814287256301754,0.31685845201257307,0.2510417972430747,0.3257523896692903
Matam,rural,trades,0.08511387629490436,0.07213578850020838,0.09801530546496359,0.06935157948354415,0.10235970894989725
Matam,urban,agri_aqua,0.028808626925250925,0.02192986286483583,0.03635662636339809,0.02029336214991151,0.038531367105260984
Matam,urban,livestock,0.12695308429894062,0.1086042925532589,0.1458513108004013,0.1038443104783467,0.15198365851390078
Matam,urban,professional,0.15889737427642445,0.13203187166791955,0.18542764447608523,0.125815976057531,0.19267631810505165
Matam,urban,services,0.09277046174485429,0.07310536381287673,0.11105955301454004,0.06791748628301454,0.11779438812512415
Matam,urban,small_business,0.4842426224313836,0.4493967829405819,0.5199266461934866,0.440274228584305,0.5290997901905562
Matam,urban,trades,0.10832783032314612,0.09292318215698664,0.12569977372110341,0.09009083948360291,0.13136670103742978
Saint-Louis,rural,agri_aqua,0.26528592164417547,0.23821676408103565,0.29258272532722895,0.23314212292339218,0.30038774164098225
Saint-Louis,rural,livestock,0.2469407870228098,0.22320121678698338,0.27070051343209356,0.2145426141349287,0.28096680128037005
Saint-Louis,rural,professional,0.047121704351596065,0.039229618190844084,0.05525301175556967,0.03754377016031868,0.05826549136447011
Saint-Louis,rural,services,0.04009156094575108,0.03328710573247651,0.04703485529453828,0.03142338412366724,0.04904246875132232
Saint-Louis,rural,small_business,0.3015864056234561,0.2788064665175916,0.3233461474140302,0.27223282965797163,0.3304602291057342
Saint-Louis,rural,trades,0.09897362041221143,0.08543351523817021,0.11315645857995582,0.0817405960620051,0.11730688043712265
Saint-Louis,urban,agri_aqua,0.06333146086526102,0.054542053863797825,0.07252692897239868,0.051902488343013524,0.07575823440398972
Saint-Louis,urban,livestock,0.07063092764236603,0.06063124793256869,0.08050737555810265,0.05759505573511124,0.08395393013294832
Saint-Louis,urban,professional,0.1466133637208267,0.12613557410577636,0.1666361561221385,0.12042848453445343,0.1726833693723542
Saint-Louis,urban,services,0.10778625409382575,0.09150604513472574,0.12430585468355267,0.08708996579035005,0.1293700684005585
Saint-Louis,urban,small_business,0.490354093346545,0.4655961273420672,0.5154181497152093,0.45759278472045056,0.5217791680760774
Saint-Louis,urban,trades,0.1212839003311755,0.10621068647553238,0.13686827462085294,0.1029982736880158,0.14206277021755737
Sedhiou,rural,agri_aqua,0.28949645064236373,0.2601569688542392,0.3183576103171218,0.25228467864050724,0.3273725654431198
Sedhiou,rural,livestock,0.10907254819766829,0.08844781205010427,0.13033546176601613,0.08366319104772618,0.13818171185575434
Sedhiou,rural,professional,0.07883065622464608,0.06827061267192745,0.0902179165990577,0.06483416718850929,0.09407554528600118
Sedhiou,rural,services,0.03844339219872986,0.03133566906329029,0.045285326157108674,0.029361978588992574,0.04822894906846407
Sedhiou,rural,small_business,0.38809342344200365,0.3621318664498475,0.4149418174006865,0.3545463248957042,0.4229389702914027
Sedhiou,rural,trades,0.09606352929458836,0.08442279066443666,0.10914380001058502,0.08102275478772016,0.11180610481310709
Sedhiou,urban,agri_aqua,0.05802045785056387,0.049425594275541176,0.06677693606442933,0.04705100252116423,0.06957955172579
Sedhiou,urban,livestock,0.0257904760369096,0.02068108749972246,0.03134189667632933,0.019591926121111197,0.03286993841755404
Sedhiou,urban,professional,0.2052089874061307,0.18286238746413108,0.22832496063323554,0.1771620542563497,0.2361032300468983
Sedhiou,urban,services,0.08686108451433092,0.07153362565095753,0.10182416909957856,0.06792971639922324,0.10650855699361557
Sedhiou,urban,small_business,0.5265004920203398,0.4995219547561376,0.5535259850516184,0.49284628912974315,0.5592627690541471
Sedhiou,urban,trades,0.09761850217172514,0.08536545838412775,0.10958357272294074,0.08254266321818761,0.11366316354307941
Tambacounda,rural,agri_aqua,0.16471783440077725,0.14345675950182843,0.1861364468963834,0.1374492524065035,0.19260838101084948
Tambacounda,rural,livestock,0.20594268898815454,0.1829384468627141,0.22908636042459457,0.17742073152446067,0.233259288140236
Tambacounda,rural,professional,0.07922089063417105,0.06845616872305174,0.09012111515587032,0.06628536454129755,0.09418369282419538
Tambacounda,rural,services,0.04297360033272449,0.03596261462874077,0.04993563614136872,0.0342637177079051,0.05221585055436969
Tambacounda,rural,small_business,0.4123705939907324,0.3880291389572816,0.43662444371872744,0.3825353815495472,0.44370438575308885
Tambacounda,rural,trades,0.09477439165344026,0.08242166418430136,0.10739085798024736,0.07911665413965965,0.1103701208200573
Tambacounda,urban,agri_aqua,0.03177937268923641,0.02625084938487105,0.03751443708830174,0.025010157969250955,0.03944884746340441
Tambacounda,urban,livestock,0.04681538675605043,0.039658751038123254,0.05473781176598599,0.037782683404068186,0.056942703377712775
Tambacounda,urban,professional,0.19775594435216406,0.17532049012632367,0.22011939109419745,0.16992749186085737,0.22764643805096588
Tambacounda,urban,services,0.09447360084634211,0.07876220394709352,0.10969148470194226,0.07471124819486183,0.11400055333262349
Tambacounda,urban,small_business,0.5364760191767466,0.5080297156992013,0.5639949262773772,0.5016618593992047,0.5737169964073109
Tambacounda,urban,trades,0.0926996761794604,0.08114696427340758,0.10541513872662707,0.07751286833757517,0.10890229307813751
Thies,rural,agri_aqua,0.13038007039313843,0.11410223051471767,0.14791666964886652,0.10906066599365938,0.1531213746073664
Thies,rural,livestock,0.17242896629942278,0.1528194932358696,0.19229860685915667,0.1476362338763152,0.19694329133538532
Thies,rural,professional,0.1236494320817449,0.11174315221721862,0.1364695998141216,0.10841427630623639,0.13955005675312193
Thies,rural,services,0.07476324958802577,0.06567352662269581,0.0837714634444465,0.06315616907227883,0.0868552088633076
Thies,rural,small_business,0.33759580773147335,0.3177952363704012,0.35856442888105006,0.31212194752292083,0.36346685943517515
Thies,rural,trades,0.16118247390619472,0.14722289280134368,0.17566438803391038,0.14363912949022675,0.18041467920683626
Thies,urban,agri_aqua,0.022085702826477323,0.01832644888768503,0.026121741552702124,0.017333115176537114,0.027408761262230654
Thies,urban,livestock,0.034810539571088144,0.0294649650894485,0.04022902469160785,0.02844112016287506,0.04180285830495012
Thies,urban,professional,0.27247635824957844,0.25311320401571996,0.29199825236215066,0.24771021567298276,0.2983492084744136
Thies,urban,services,0.14284790285529614,0.1282824805097615,0.15804789470739347,0.1240723481453993,0.16331661099371647
Thies,urban,small_business,0.3882559830969135,0.36797009818832005,0.4088825325791866,0.36092833496808036,0.4170977631810538
Thies,urban,trades,0.13952351340064645,0.12642054272026665,0.15254805044136258,0.12340019219267583,0.15619747447162166
Ziguinchor,rural,agri_aqua,0.13428717893290948,0.10986680756041634,0.15694567845138874,0.10475088352246065,0.16625383014876913
Ziguinchor,rural,livestock,0.0913921189042154,0.07234307996697348,0.11273323687209393,0.06761620878201231,0.1214329634178103
Ziguinchor,rural,professional,0.11861739313328931,0.10460114616101247,0.13374397105432975,0.10090865250852826,0.13808566409738063
Ziguinchor,rural,services,0.08912869948076067,0.07656202281468599,0.10179521422897368,0.07405258589946441,0.10598529466527959
Ziguinchor,rural,small_business,0.4087623070914872,0.38159517050684033,0.4351371286142278,0.3756783432061175,0.44534597007918153
Ziguinchor,rural,trades,0.1578123024573379,0.14027720202842087,0.17594974591791362,0.13603827512267638,0.18173279792526512
Ziguinchor,urban,agri_aqua,0.020973924107935013,0.01673983603176295,0.025480670324206093,0.015682124139785238,0.02698745293241471
Ziguinchor,urban,livestock,0.0170451513847077,0.012931682102657157,0.021174477326974462,0.011972206188181832,0.02228744575272607
Ziguinchor,urban,professional,0.24187542408283152,0.21912717236422583,0.2659293189559106,0.21383988267218726,0.2726739058483877
Ziguinchor,urban,services,0.15802312482234984,0.13983768868907645,0.17723466257994777,0.13494350700701824,0.182416611166702
Ziguinchor,urban,small_business,0.4353373114634271,0.40803893300678196,0.4625372249855181,0.40199584076417605,0.46983659393427263
Ziguinchor,urban,trades,0.12674506413874886,0.11262508839216859,0.14068098411142668,0.1093324932225477,0.14489867865501896
