sector,urban,admin,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
services,urban,Nioro,348821,258006.7,469880.3,227642.80000000002,502659.14999999985
services,urban,Pikine,622639.5,556548.8,694998.5,540397.35,717928.1
services,urban,Podor,441731.5,302136.1,620327.2999999999,272447.75,688971.0499999999
services,urban,Rufisque,596500,490791.80000000005,731232.6,460502.3,777386.6
services,urban,Saint.Louis,429510.5,346891.3,530931.2000000001,329187.60000000003,566295.5
services,urban,Salemata,396797.5,264013.4,570632.1,232034,640543.9999999999
services,urban,Sedhiou,522023.5,404829.7,670647,374687.10000000003,725269.35
services,urban,Tambacounda,462778,373780.5,591688.3,353508.85,623202.65
services,urban,Thies,542431.5,444032.9,664804.2000000001,421710.89999999997,710609.95
services,urban,Tivaouane,512993.5,383327.6,676810.2999999999,345026.3,726632.1
services,urban,Velingara,635084.5,499068.9,794356,465622.25,856897.6499999999
services,urban,Ziguinchor,441671.5,382626.9,516916.5,365220.8,539749.35
small_business,rural,Bakel,164929,131968.1,206287.90000000002,120539.65,224396.4
small_business,rural,Bambey,106244.5,85331.9,132434,80731.15000000001,141459.35
small_business,rural,Bignona,144343.5,120178.40000000001,173145.7,114475.95,182478.2
small_business,rural,Birkelane,225443,170447.5,294512.1,156429.6,320308.74999999994
small_business,rural,Bounkiling,172380.5,139743.7,211578.2,129451.29999999999,224749.9
small_business,rural,Dagana,78328.5,61150.6,98739.3,56969.850000000006,104458.14999999997
small_business,rural,Diourbel,119370.5,98244.3,146674.5,91826.3,155832.45
small_business,rural,Fatick,77377.5,62937.2,95146.9,59344.200000000004,101163.15
small_business,rural,Foundiougne,138252.5,115862.4,165669.1,110538.6,173315.69999999998
small_business,rural,Gossas,169107,121354.4,233632.1,110606.05,256943.64999999997
small_business,rural,Goudiry,149874,108658.90000000001,207706.4,100755.3,226850.24999999997
small_business,rural,Goudomp,162667,129590,205706.7,118859.55,219232.4
small_business,rural,Guinguineo,117936,90157.9,154452.1,82789.34999999999,163815.75
small_business,rural,Kaffrine,120435.5,97286,147148.40000000002,91657.7,157932.5
small_business,rural,Kanel,103537,79463.1,135538.5,73679.55,144981.94999999998
small_business,rural,Kaolack,172712.5,139242.6,214485.90000000002,129663.25,232014.15
small_business,rural,Kebemer,110291,92715.1,132188.6,88909,139824.45
small_business,rural,Kedougou,179006,146773.19999999998,213426,140918.8,225735.65
small_business,rural,Kolda,130692,104913.4,161823.5,98368.35,171710
small_business,rural,Koungheul,135940,109597.2,168958.6,103396.8,176851.7
small_business,rural,Koupentoum,147106.5,114059.5,188585.4,107486.5,204226.24999999997
small_business,rural,Linguere,96652,80947.3,115248.3,76646.95,120845.79999999997
